X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
25,1.28,4.39,168.650309,2308.57,22.02,0.93,1.73,4,1012.57,112,33.509,47.87,50.0362,32.9,1.12,64.45,73.45,0.03,17.34,B
30,1.77,3.72,174.3177005,2207.8,26.54,0.9,1.02,3,1005.8,105,45.58,91.16,50.1961,27.6,0.8,71.98,78.68,-0.43,16.84666667,A
28,0.75,4.51,186.1877766,2285.74,6.9,1.43,1.9,2,1016.74,103,44.12,88.24,49.9572,31.5,1.33,39.81,51.01,0.24,12.3,A
26,0.93,4.69,196.0731459,2303.31,13.05,0.97,2.24,4,1018.31,103,51.992,64.99,49.8978,34.3,1.48,34.03,48.03,0.31,14.35,B
24,0.62,5.19,186.8091691,2377.84,19.61,1.6,24.43,3,1014.84,102,77.304,64.42,50.182,32.7,1.79,45.01,56.31,0.19,18.53666667,A
38,1.5,2.92,175.999965,2115.45,26.26,1.22,0.48,1,1010.45,99,49.427,70.61,50.1134,25.8,0.94,63.73,79.13,0.15,19.75333333,A
23,1.02,5.84,164.4486569,2454.3,30.56,1.29,3.69,3,1000.3,101,190.485,70.55,50.6753,35.9,1.67,71.25,84.55,0.37,23.18666667,A
32,2.72,3.49,171.621992,2185.28,21.81,1.27,0.94,3,1014.28,103,16.732,83.66,50.0946,26.6,1.09,63.77,73.17,0.07,15.27,A
35,2.25,3.35,183.0849351,2142.53,26.65,0.87,0.64,3,1013.53,97,46.081,65.83,49.9183,29.6,0.94,58.41,65.41,-0.58,17.88333333,C
29,1.02,4.32,176.9903154,2214.07,25.18,1.08,1.38,3,1015.07,107,48.608,60.76,49.7319,33.9,1.23,57.5,69.1,-0.08,19.39333333,B
23,0.96,5.41,192.1087372,2422.27,17.8,1.27,3.2,4,1007.27,106,97.572,81.31,50.3696,38,1.44,46.48,54.38,-0.13,13.93333333,B
27,0.78,4.81,173.2440979,2235.63,33.27,1.35,3,3,1010.63,99,47.817,43.47,50.2638,32.1,2.91,66.44,87.64,0.58,24.09,A
30,1.31,4.32,172.3126383,2304.4,29.94,1.05,1.19,3,1012.4,107,61.022,46.94,50.1556,34.3,1.25,65.74,75.54,0.01,20.98,D
21,1.05,6.1,190.8933791,2324.96,8.51,1.12,5.13,3,1026.96,102,60.272,75.34,50.3263,36.5,1.3,34.69,41.69,-0.21,13.83666667,C
39,1.66,2.8,193.6092913,2045.24,9.45,0.86,0.31,3,1024.24,97,8.328,83.28,49.5243,23.5,0.66,36.71,41.71,-0.63,10.15,B
15,1.04,5.33,173.5935758,2285.84,24.27,1.21,7.3,3,1011.84,107,171.16,77.8,50.2811,38.1,1.38,60.23,81.93,0.65,22.09,A
30,1.4,3.76,186.6560283,2269.62,11.28,1.22,0.88,2,1014.62,106,89.802,99.78,50.4419,27.6,0.97,42.44,56.34,0.26,14.76,B
24,0.56,4.66,192.2221415,2286.64,7.93,1.2,2.62,3,1023.64,104,87.507,97.23,49.8896,32,1.14,41.01,58.11,0.31,11.64333333,B
34,2.2,2.98,192.3032721,2169.32,14.3,0.72,0.28,3,1007.32,101,58.976,73.72,49.9688,27.3,0.63,42.99,50.19,-0.47,12.76666667,C
30,0.69,3.71,179.4119776,2154.47,24.31,1,0.7,2,1019.47,92,64.394,58.54,49.8129,26.1,0.54,63.86,77.36,0.1,18.10333333,A
38,1.9,3.07,170.1429054,2023.95,29.3,0.81,0.35,3,1010.95,99,6.123,61.23,49.7794,30.2,0.88,70.04,80.64,-0.05,18.76666667,A
28,0.54,4.24,182.0304109,2205.46,20.43,1.5,4.55,3,1016.46,99,45.89,91.78,49.9695,29.7,2.19,63.09,83.39,0.54,15.81,A
37,1.13,2.91,191.0894348,1933.5,10.94,0.84,0.42,3,1004.5,93,43.145,86.29,49.7006,27.2,0.86,39.69,58.29,0.34,15.64666667,A
23,0.81,5.14,178.8812482,2258.23,23.04,1.16,2.49,3,1011.23,99,70.697,64.27,50.4029,32.7,1.4,57.32,75.62,0.69,19.68,B
34,1.09,3.7,186.9089382,2178.27,25.37,1.12,0.75,2,1009.27,97,18.918,63.06,49.7389,29.2,0.87,44.89,52.39,-0.6,15.45666667,A
25,1.17,4.79,186.2960551,2336.76,21.1,1.03,2.68,4,1006.76,104,163.552,86.08,50.1201,35.2,1.9,49.16,62.96,0.1,18.03333333,A
33,1.26,3.19,183.8821904,2182.14,20.4,0.99,0.69,3,1011.14,100,55.482,92.47,49.979,27.5,0.83,57.85,68.35,0.04,14.8,A
33,0.94,3.81,182.1243153,2200.29,20.51,1.18,0.83,2,1005.29,96,16.14,80.7,49.7584,31.3,0.95,48.6,56.7,-0.37,14.83666667,D
38,1.44,2.93,192.9402388,2085.34,12.15,1.26,0.35,1,1013.34,95,9.505,95.05,49.7856,23.3,0.73,38.78,47.48,-0.05,12.05,B
33,1.07,2.95,197.3117841,2048,15.27,1.04,0.53,2,1009,91,58.884,84.12,49.7173,28.5,0.74,41.16,52.46,-0.09,14.09,A
32,1.2,3.86,178.4164053,2262.02,23.78,1.17,0.99,2,1018.02,96,62.448,78.06,50.2349,30.1,1.1,60.27,66.97,-0.4,17.92666667,A
25,0.98,5.56,179.3999518,2379.55,22.01,1.06,2.97,4,1017.55,99,251.46,83.82,50.2225,35.1,1.52,60.84,70.84,-0.34,18.33666667,B
34,1.16,3.25,168.8106674,2074.39,24.72,1.01,0.54,2,1008.39,88,24.309,81.03,49.9452,24.5,0.85,77.54,83.84,-0.34,16.24,C
27,1.08,5.25,163.6390858,2423.99,28.84,1.1,2.06,4,1013.99,110,121.68,76.05,50.0089,36.6,1.44,73.03,84.73,-0.17,20.61333333,D
20,1.02,4.93,178.194924,2530.9,26.53,0.97,5.18,5,1012.9,113,93.422,66.73,50.0789,35.8,1.1,54.2,59.8,-0.52,17.84333333,B
27,1.2,4.48,189.7122135,2348.92,19.82,1.32,4.99,4,1012.92,108,36.344,51.92,50.4036,30.2,1.92,41.67,50.07,-0.19,16.60666667,A
29,1.07,4.51,188.3551531,2212.92,16.69,1.14,1.43,3,1019.92,105,25.715,51.43,50.1525,31.6,1.16,40.56,48.96,-0.27,16.56333333,D
33,1.29,3.23,178.0398003,2213.25,20.36,0.76,0.3,3,1020.25,101,43.776,72.96,49.683,27.4,0.47,56.53,63.63,-0.57,14.78666667,A
30,1.07,4.1,170.1517748,2176.27,18.6,1.62,2.67,3,1003.27,100,25.263,84.21,50.1844,28,2.65,68.28,76.28,-0.1,15.2,D
30,1.37,4.08,186.8735702,2163.73,12.54,1.09,1.03,3,1015.73,105,42.145,84.29,49.8326,32.7,1.25,40.1,56.5,0.27,16.18,A
28,1.1,4.32,185.3882095,2252.29,14.54,1.27,1.45,2,1015.29,101,85.032,94.48,50.1066,31,1.22,46.18,58.18,0.15,14.84666667,A
25,0.96,4.84,167.3307072,2399.98,30.97,1.32,2.46,3,1005.98,116,72.28,55.6,49.9829,35.8,1.58,67.9,86.4,0.36,21.32333333,A
38,2.41,2.99,170.891948,2066.52,26.54,0.9,0.35,2,1007.52,95,43.224,72.04,50.0739,26.1,0.89,71.14,82.74,0.13,18.84666667,A
37,1.79,2.88,172.4191877,2011.54,25.2,1.08,0.38,2,1017.54,98,16.659,55.53,49.8844,24.6,0.9,59.21,73.01,0.35,19.4,D
36,1,3.35,191.7546112,2057.5,13.17,1.04,0.49,1,1018.5,93,67.016,83.77,49.3123,27.5,0.69,38.52,47.52,-0.48,14.39,B
30,1.19,4.11,196.2587705,2259.85,8.53,1.71,2.09,3,1009.85,102,45.475,90.95,50.2656,30,1.83,40.77,50.07,0.01,11.84333333,B
23,0.77,4.99,171.6826341,2268.46,24.06,1.39,6.61,3,1017.46,110,33.628,48.04,49.8373,35.2,1.77,58.2,73.8,0.43,19.02,B
28,0.97,4.29,186.6527759,2249.81,12.25,1.29,1.65,3,1021.81,106,23.6,59,49.9722,32.2,1.41,41.38,56.38,0.54,13.08333333,A
38,1.08,2.58,191.9433249,2133.78,14.7,1.22,0.42,1,1025.78,91,20.384,50.96,50.1223,22,0.74,40.8,54.7,0.23,14.9,A
29,1.58,3.84,194.2575142,2225.38,15.75,1.13,1.15,3,1014.38,104,22.887,76.29,50.2508,28,0.97,39.39,47.29,-0.09,13.25,C
42,1.39,2.16,167.3636897,2149.49,29.45,0.95,0.4,3,1010.49,97,25.948,64.87,50.0887,24.3,0.84,74.16,81.16,-0.35,18.81666667,B
34,2.15,2.8,171.8604128,2039.91,30.22,0.8,0.38,3,1014.91,95,20.94,34.9,49.8459,26.7,0.89,68.3,78,-0.19,19.07333333,B
35,1.38,3.59,168.5105569,2184.23,26.96,0.94,0.74,3,1009.23,98,26.886,89.62,49.7972,28.9,0.94,72.58,79.88,-0.67,16.98666667,A
25,1.23,4.96,173.2255934,2287.61,18.48,1.08,2.02,3,1015.61,112,51.084,85.14,50.041,34.9,1.22,58.59,68.09,-0.11,15.16,D
36,1.38,2.27,182.4428947,2133.09,17.78,1.04,0.39,2,1015.09,100,27.57,91.9,49.7231,28.3,0.74,50.66,59.66,-0.09,13.92666667,D
30,1.42,3.7,195.5655922,2247.84,6.64,0.88,0.98,4,1018.84,101,74.94,74.94,49.8466,32,0.89,39.04,43.84,-0.69,11.21333333,B
39,1.71,2.89,174.1509059,2167.4,21.83,0.98,0.52,3,1013.4,100,34.328,85.82,49.8039,24.6,0.84,63.13,69.03,-0.82,14.27666667,B
40,1.63,2.84,189.2787842,2056.5,13.92,1.15,0.42,0,1012.5,100,8.028,80.28,50.0648,24.4,0.77,39.58,47.08,-0.31,12.64,C
28,1.16,4.74,188.1481255,2270.57,12.14,0.98,1.53,4,1007.57,102,109.83,73.22,50.1137,34.7,1.27,40.27,46.77,-0.4,15.04666667,A
42,1.1,2.79,198.7480289,2088.39,15.64,1.12,0.29,1,1014.39,79,23.079,76.93,50.0061,22.3,0.81,38.28,49.78,0.11,13.21333333,A
25,1.04,4.86,185.0316057,2261.5,16,1.07,1.77,3,1020.5,102,72.801,80.89,49.89,33.8,1.24,44.9,59.1,0.24,14.33333333,C
29,1.56,3.83,193.5623148,2141.81,9.75,0.87,0.93,3,1016.81,97,41.21,82.42,49.879,30.4,0.94,43.69,54.19,-0.11,11.25,B
32,1.31,3.42,189.3513508,2069.34,13.56,0.81,0.66,3,1011.34,91,47.01,94.02,49.8,30.8,0.97,43.67,55.47,0.01,14.52,C
29,1.08,4.14,186.9246077,2169.25,7.94,1.18,1.16,2,1023.25,98,48.504,80.84,49.9652,29.3,1.42,40.56,59.36,0.56,15.64666667,B
22,1.1,5.08,182.2448086,2336.4,20.46,1.66,25.46,3,1011.4,105,67.2,84,50.3277,32.9,2.01,54.2,68.7,0.47,16.82,D
22,0.88,5.06,177.261002,2355.48,18.23,0.95,5.6,4,1011.48,100,137.025,91.35,50.1246,33.2,1.19,62.26,71.46,-0.24,16.07666667,A
27,0.82,4.19,175.8842044,2253.49,23.14,1.13,1.57,3,1017.49,107,42.552,53.19,49.8815,33.2,1.04,63.94,75.04,0.04,16.71333333,A
30,1.07,3.61,185.8287038,2157.21,20.55,1.2,0.73,2,1013.21,102,65.862,73.18,49.947,27.1,0.64,46.21,55.21,-0.24,16.85,C
34,4.2,2.9,182.9799531,2134.8,23.58,0.94,0.47,3,1003.8,100,7.462,74.62,49.9174,24,0.91,49.3,56.4,-0.21,15.86,A
32,1.08,3.88,191.5570691,2188.47,14.51,1.21,0.89,2,1017.47,95,65.56,81.95,50.1985,29.7,0.98,42.77,48.87,-0.38,14.83666667,A
29,1.7,4.2,189.6456352,2261.51,10.05,1.01,1.58,4,1015.51,105,92.631,84.21,50.2394,31.4,1.35,40.71,48.91,-0.28,14.35,A
35,1.26,3.19,176.380687,2170.47,26.91,1.41,0.66,2,1009.47,99,16.578,55.26,50.2487,24.1,1.08,61.5,77.7,0.64,19.97,B
30,1.44,4.21,190.0049383,2275.68,15.66,1.11,1.29,4,1001.68,99,60.382,86.26,50.3593,31.6,1.42,41.35,48.65,-0.17,15.22,B
29,0.65,4.19,171.9610484,2194.39,30.07,0.88,1.27,3,1010.39,96,34.518,57.53,49.6394,27.4,0.72,69.82,80.02,-0.29,17.02333333,D
30,0.86,3.84,168.8479116,2176.94,24.28,1.15,0.93,2,1009.94,96,30.832,77.08,49.9882,26.7,1,68.31,85.61,0.57,17.09333333,B
33,1.32,3.56,185.22892,2147.57,12.57,0.95,0.68,2,1019.57,95,57.952,72.44,49.6789,27.2,0.89,39.3,48.8,-0.28,15.19,C
34,1.04,3.47,187.5011675,2174.24,11.01,1,0.71,3,995.24,96,29.586,98.62,49.8546,24.9,0.8,42.02,49.42,-0.51,10.67,B
29,1.3,3.9,167.8968365,2207.54,23.3,0.64,0.66,3,1008.54,100,46.055,92.11,49.7473,29.5,0.65,72.99,82.19,-0.34,14.76666667,A
30,1.41,4.29,172.7123902,2243.03,28.76,1.05,1.7,4,1010.03,105,23.296,58.24,49.8936,28.6,1.69,60.23,72.63,-0.11,18.58666667,B
31,1.49,3.47,173.5891844,2096.2,21.4,0.85,0.81,3,1008.2,100,30.17,60.34,49.8305,29.9,0.91,68.28,84.38,0.2,17.13333333,A
33,1.16,3.75,170.3872514,2191,30.33,1.1,0.82,3,1006,97,16.497,54.99,49.8215,28.3,1.03,68.67,73.17,-0.66,18.11,A
26,1.02,4.54,169.5764968,2256.92,18.89,1.33,2.18,3,1003.92,111,43.06,86.12,49.9314,34.7,1.51,67.71,82.31,0.49,16.29666667,C
33,1.3,3.74,177.1703929,2198.58,18.83,0.97,0.82,3,1005.58,103,30.828,77.07,49.7181,30.1,1.07,47.83,59.03,-0.22,17.27666667,A
34,1.48,3.25,188.8642003,2172.26,12.32,1.02,0.62,2,1016.26,94,58.226,83.18,50.2256,26.1,1.08,43.69,63.29,0.59,16.10666667,B
23,0.73,5.14,174.3312484,2256.25,25.15,1.03,2.33,4,1013.25,100,94.003,72.31,49.7894,34.8,1.39,68.51,81.71,0.2,17.38333333,A
37,1.16,3.21,183.1318526,2167.76,17.06,1.01,0.6,2,1019.76,91,64.72,80.9,49.8632,28.8,0.87,52.9,60.6,-0.41,16.68666667,B
33,1.82,3.46,180.4337972,2156.53,23.68,1.09,0.79,2,1007.53,103,51.63,86.05,50.1729,29.4,0.99,49.02,56.62,-0.3,18.89333333,B
34,1.63,3.62,186.1784242,2175.4,11.95,1.16,0.74,2,1013.4,102,83.259,92.51,50.2286,26.5,1.01,39.82,51.12,-0.01,15.98333333,A
29,1.15,4.11,183.2903705,2275.85,25.39,1.15,1.45,2,1015.85,97,75.108,62.59,50.0236,29.8,0.91,58.79,65.59,-0.64,16.46333333,A
25,1.38,4.86,192.8958972,2249.31,11.52,0.94,2.88,5,1024.31,104,95.537,73.49,50.1289,33.8,1.97,40.8,58,0.36,14.84,B
27,1.3,4.51,181.5325158,2238.86,19.69,1.03,2.56,4,1020.86,108,36.705,73.41,49.9334,34.5,1.89,56.65,74.65,0.52,15.56333333,A
27,0.82,4.41,169.4768676,2210.42,26.1,1.31,1.82,2,1009.42,104,76.86,85.4,50.3211,29.2,1.34,74.16,102.06,0.9,21.7,A
33,1.67,3.7,170.4060468,2216.85,27.44,1.04,0.88,3,1003.85,103,53.655,76.65,49.7585,30.2,1.22,74.9,89,0.22,18.14666667,A
23,1.1,5.04,168.6902736,2395.62,27.35,0.9,2.12,6,1017.62,105,60.786,55.26,49.9354,36.3,1.25,66.05,72.25,-0.69,18.11666667,A
32,1.72,3.78,171.7156676,2200.86,25.7,1.05,1.07,3,1013.86,101,28.455,56.91,50.0833,27.3,1.14,69.45,76.15,-0.37,17.56666667,A
28,0.83,4.45,178.0564217,2316.63,24.54,1.18,1.5,3,1011.63,100,92.192,57.62,49.8686,33.8,1.25,58.66,70.46,0.05,19.18,A
33,1.77,3.16,192.9671429,2152.39,14.87,0.95,0.67,3,997.39,102,24.618,82.06,49.9671,28.7,0.99,41.23,55.43,0.09,12.95666667,C
25,1.37,4.61,195.2336169,2235.52,14.05,1.39,3.05,3,1011.52,104,59.589,66.21,50.3807,30.2,1.36,40.35,50.55,0.08,13.68333333,A
36,1.02,3.28,174.5897467,2186.64,25.69,1.15,0.58,1,1012.64,87,69.08,86.35,49.9104,28.6,0.85,73.18,79.68,-0.63,17.56333333,B
25,1.01,4.95,165.7127127,2264.06,31.01,1.11,2.22,3,1005.06,109,32.312,46.16,49.8379,36.1,1.33,67.69,77.39,-0.04,21.33666667,B
34,1.37,3.19,195.3093596,2183.67,9.46,1.04,0.65,3,1008.67,98,54.712,78.16,50.1262,26,1.12,42.28,57.28,0.32,13.15333333,B
31,1.23,3.8,192.4479206,2200.93,7.71,1.03,1.03,4,1021.93,100,34.816,87.04,50.0483,29.4,1.19,40.77,52.87,0.26,12.57,A
28,1.45,4.03,192.1589353,2159,15.69,0.96,1.01,3,1016,105,33.552,83.88,49.8139,28.3,0.75,37.64,43.24,-0.53,12.23,B
27,1.04,4.32,172.6588511,2305.23,26.45,1.07,1.45,3,1013.23,103,79.196,60.92,50.2295,30.1,1.02,64.27,73.17,-0.26,18.81666667,A
27,1.28,4.34,178.0882968,2309.2,22.86,0.81,1.21,4,1017.2,96,87.243,67.11,49.9239,33.3,1.07,60.08,66.48,-0.58,15.62,A
30,1.15,3.74,179.7042142,2202.41,21.61,0.95,0.96,3,1019.41,99,54.74,78.2,49.8974,27.1,0.96,49.39,58.49,-0.12,17.20333333,B
25,0.9,4.4,174.6750578,2249.22,25.66,1.16,9.56,3,1008.22,97,70.578,78.42,50.2216,30.1,2.07,77.54,87.34,0.11,17.55333333,B
24,0.96,4.72,176.7837629,2235.15,22.48,0.93,5.21,4,1008.15,101,82.951,75.41,49.8769,31.7,1.27,71.29,80.39,-0.34,15.49333333,B
25,0.59,4.63,178.9709068,2271.27,21.58,1.13,29.32,5,1015.27,100,37.89,63.15,50.2537,32.1,3.5,63.87,81.67,0.84,17.19333333,B
26,0.98,4.97,163.4918673,2340.97,25.94,1.33,1.97,3,1007.97,101,118.748,84.82,50.2529,31.3,1.36,77.24,85.34,-0.3,19.64666667,A
25,0.79,4.65,190.8259927,2338.6,16.45,1.37,2.59,3,1018.6,103,85.14,85.14,50.5628,29.9,1.15,44.68,56.78,0.19,15.48333333,A
35,1.05,3.43,172.0036696,2186.79,27.88,1.12,0.67,2,1017.79,95,8,40,49.941,25.1,0.92,63.87,77.27,0.09,18.29333333,C
38,1.95,2.93,167.4342983,2156,26.62,1.04,0.5,2,1016,97,30.268,43.24,50.1232,26.9,0.92,65.12,74.22,-0.31,19.87333333,B
29,2.19,3.85,185.8371979,2125.22,27.94,1.18,1.02,2,1004.22,101,28.368,35.46,49.9669,32.7,1.03,49.16,59.96,-0.07,19.31333333,A
23,0.65,5.07,192.6169905,2309.8,5.02,1.14,7.76,4,1007.8,102,99.22,99.22,49.903,34.1,1.48,45.87,54.57,-0.12,9.673333333,B
28,0.91,4.11,174.2620883,2177.16,31.87,1.17,2.67,3,1006.16,98,22.83,45.66,50.0704,30.8,1.85,71.22,89.82,0.6,20.62333333,D
31,1.35,3.54,168.2707317,2179.56,24.49,0.95,0.89,3,1010.56,102,19.209,64.03,50.0454,29,0.92,68.61,76.01,-0.2,17.16333333,D
32,1.68,3.19,173.46032,2015.23,30.42,0.77,0.53,3,1006.23,90,21.676,54.19,49.8753,25.4,0.76,67.69,78.99,-0.09,19.14,A
30,0.93,4.12,175.0717906,2282.9,20.85,1.04,1.19,4,1012.9,98,30.388,75.97,49.9116,27.7,1.08,59.21,66.51,-0.51,14.95,A
36,1.31,2.88,198.4133906,2175.75,13.18,0.96,0.55,3,1017.75,95,65.832,82.29,50.073,26.8,0.88,40.03,54.03,0.16,13.39333333,A
25,1.39,4.79,191.5957093,2251.76,5.37,1.07,12.47,4,1017.76,98,61.184,76.48,50.2454,29.9,3.22,38.68,46.78,-0.13,11.79,C
32,1.11,3.6,174.4976505,2182.94,31.81,0.68,0.46,3,1007.94,90,55.91,55.91,49.8147,27.9,0.93,69.88,84.98,0.09,20.60333333,D
31,1.78,3.55,183.6776165,2216.1,20.55,0.97,0.75,3,1016.1,101,38.334,63.89,49.9947,31.6,0.91,48.98,54.38,-0.44,13.85,B
23,0.86,5.29,171.5234591,2277.78,22.49,1.61,11.23,3,1006.78,108,66.384,73.76,50.3514,35.2,2.36,69.84,90.34,0.92,19.49666667,A
27,0.99,5.08,191.584341,2293.09,12.57,1.15,2.22,4,1023.09,103,92.736,77.28,50.0428,32.5,1.29,39.18,46.78,-0.31,14.19,B
30,0.94,4.01,168.7035649,2147.51,27.35,1.15,1.05,2,1008.51,95,19.743,65.81,49.6553,30,0.93,69.48,75.08,-0.41,17.11666667,B
31,0.99,3.7,181.7148758,2214.73,17.82,1.16,0.83,2,1020.73,95,28.1,70.25,50.0585,28.2,0.88,49.15,58.75,0.04,13.94,C
30,1.15,4.37,172.0144184,2300.82,23.25,1.27,1.28,2,1006.82,108,38.185,76.37,50.2416,29.8,1.18,56.9,67,-0.1,17.75,B
29,1.22,4.46,188.775906,2282.94,9.37,0.95,1.26,4,1024.94,101,52.521,75.03,49.968,29.2,1.19,40.11,47.51,-0.39,11.12333333,C
29,0.98,4.39,175.6752535,2317.18,24.43,1.15,1.21,2,1017.18,99,60.892,46.84,49.9921,32.8,0.93,58.2,65.9,-0.51,17.14333333,A
37,1.68,3.16,178.787356,2136.62,20.04,0.96,0.6,2,1020.62,101,55.188,78.84,49.8274,29.8,0.98,49.39,65.29,0.17,18.68,A
32,0.95,3.78,189.2731895,2178.1,10.06,1.32,1,2,1014.1,97,25.71,85.7,49.8766,26.9,0.78,43.22,47.12,-0.73,10.35333333,A
25,1.01,4.65,190.1067405,2364.87,21.44,0.87,2.01,5,1008.87,98,192.632,87.56,50.0847,31.5,1.13,50.78,56.48,-0.57,15.14666667,D
30,0.96,4.15,177.261002,2204.63,29.04,1.09,1.07,3,1010.63,95,39.62,56.6,49.6849,31.6,1.04,62.26,68.36,-0.54,18.68,B
29,0.77,3.86,193.414293,2171.04,8.83,1.2,1.09,2,1023.04,95,43.04,86.08,49.6542,30.8,0.95,41.26,52.86,0.08,11.94333333,C
25,0.75,4.73,187.6869908,2243.79,24.19,1.05,2.16,3,1010.79,98,93.06,62.04,50.0754,34.2,1.25,46.21,62.61,0.31,19.06333333,D
28,1.89,3.96,192.1940306,2198.42,11.97,1.14,2.08,4,1026.42,101,28.3,70.75,49.8864,29.8,1.37,41.04,48.44,-0.14,11.99,A
32,1.96,3.64,186.7492719,2156.16,19.43,1,0.77,3,1017.16,92,53.928,67.41,50.1782,27.5,1.32,52.9,71.3,0.54,16.47666667,A
28,1.27,4.1,191.4114044,2197.41,15.59,0.95,1.23,4,1013.41,100,73.576,91.97,49.7512,33.1,1.02,45.09,53.69,-0.35,13.19666667,A
31,0.62,3.95,186.2713453,2251.02,13.23,1.33,0.69,2,1018.02,100,38.996,97.49,50.115,26.5,0.6,42.34,60.44,0.43,13.41,A
28,1.81,4.49,190.6554829,2232.36,16.34,1.51,3.06,3,1006.36,107,45.312,75.52,50.3173,32.4,1.68,41.16,51.76,0.15,15.44666667,A
29,0.87,3.98,181.9306623,2160.28,28.1,1.06,1.13,3,1011.28,97,23.62,59.05,49.7472,30.2,0.95,61.02,73.82,0.03,17.36666667,A
33,2.11,3.46,172.9972704,2175.32,26.08,1.05,0.96,4,1012.32,93,17.8,89,50.2199,24.9,1.01,70.32,75.82,-0.4,16.69333333,A
25,0.4,4.65,179.5551826,2297.39,24.44,1.52,5.91,3,1006.39,98,29.43,49.05,49.8742,30.9,1.76,52.84,63.84,0.19,17.14666667,A
39,2.31,2.13,184.0695013,2152.5,18.37,0.91,0.33,3,1015.5,99,20.337,67.79,50.124,25.8,0.81,58.96,66.76,-0.27,13.12333333,D
31,1.05,3.83,178.4222621,2167.3,22.93,1.14,1.03,3,1009.3,105,33.12,82.8,50.2068,29.7,1.13,51.19,73.79,0.85,20.64333333,D
31,1.72,3.44,168.0089327,2096.48,29.67,1.18,0.8,2,1006.48,103,12.996,64.98,49.6846,30.1,0.84,73.67,81.67,-0.09,18.89,B
25,0.74,4.98,185.0887662,2341.78,12.15,0.98,2.21,4,1025.78,103,168.642,93.69,49.868,34.2,1.22,43.71,55.21,-0.1,15.05,B
29,1.05,4.13,194.6103962,2199.73,15.67,0.98,1.06,3,1018.73,95,123.162,94.74,50.0594,27.7,0.99,45.17,55.87,-0.21,14.22333333,A
25,0.88,4.51,188.1031438,2366.91,14.7,1.21,2.08,3,1006.91,105,111.345,85.65,50.0611,34.2,0.96,48.6,56.4,-0.12,13.9,B
38,2.02,2.48,185.8871034,2143.88,27.33,1,0.34,2,1005.88,90,39.312,56.16,50.192,27.3,0.9,52.84,60.34,-0.32,19.11,A
30,1.32,4.49,186.5604065,2314.58,12.55,1.34,1.55,3,1012.58,110,45.264,75.44,50.2779,31.5,1.4,38.91,48.21,-0.12,15.18333333,B
24,0.6,5.62,169.7312754,2278.34,31.42,1.34,6.24,3,1009.34,101,51.444,57.16,49.832,36.1,1.42,69.13,78.13,-0.02,20.47333333,D
37,1.87,2.88,191.7134834,2091.49,15.44,0.98,0.46,3,1007.49,99,8.214,82.14,49.9984,24.2,0.77,39.54,47.04,-0.17,13.14666667,A
